"","link","page","ad_url","ad_number","title","price","text","n_photos","n_views","ad_date","seller_name","location","seller_age","n_all_time_ads","n_active_ads","scrape_time","province"
"1","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/other/e+bike-+-ad-posted-by-george/10011978700921012932961409",1,"E-Bike - Ad posted by george",58000,"Cannondale E-Bike. 2020 Model in excellent condition.It comes with 2 spare sets of tyres and two sets of pedals. One with clip on and one without.I am selling the bike because I had a heart attack and can no longer ride.",5,115,"2023-03-26 12:11:30","george","Other, Cape Town, Western Cape",NA,NA,NA,"2023-03-29 12:11:30","Western Cape"
"2","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/somerset-west/specialized-evo-duel-suspension-mountain-bike/10011933162831010010372709",2,"SPECIALIZED EVO DUEL SUSPENSION MOUNTAIN BIKE",110000,"2020 SPECIALIZED EVO MEDIUM , MINT CONDITION ,AXS 1 BY 12 EAGLE ,XTR BRAKES , FULL SERVICE HISTORY WITH SPECIALIZED",11,193,"2023-03-08 12:11:31","sholty","Somerset West, Helderberg, Western Cape",NA,NA,NA,"2023-03-29 12:11:31","Western Cape"
"3","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/milnerton/merida-big-9-40-xl-mountain-bike-for-sale/10011935063681010013343009",3,"Merida Big 9 40 XL mountain bike for sale",10000,"Merida Big 9 40 inch XL bicycle for sale Includes all accessories including Brand new pedals with new cycle shoe clipsSaddle mounted repair kit with spare tubeBrand new tire pumpBrand new multi tool for roadside repairs Bicycle bought for an E-cycle project which never started. Bicycle has done less than 150km since new. Serious cash in hand buyers onlyEFT or PayPal purchases accepted",8,207,"2023-03-09 12:11:31","Edward Schlodder","Milnerton, Northern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:31","Western Cape"
"4","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/tokai/specialized-levo-2hand-xl/10011988934221011247410409",4,"SPECIALIZED LEVO 2HAND XL",45000,"SPECIALIZED LEVO 2HAND XLItems Available: 1",2,3,"2023-03-29 11:59:32","Bridge Cycles CC","Tokai, Southern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:32","Western Cape"
"5","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/tokai/2022-scott-aspect-950-29er-mtb/10010239636801011247410409",5,"2022 SCOTT ASPECT 950 29ER MTB",9000,"SPECIFICATIONSFRAMEAspect 900-700 series / Alloy 6061 Custom TubingBSA73 / Internal Cable Routing / replaceable hangerFORKSuntour XCT30-HLOHyd. Lockout / 100mm travelREAR DERAILLEURShimano Altus RD-M200018 SpeedFRONT DERAILLEURShimano FD-M2020-TS / 31.8mmSHIFTERSShimano SL-M2010R-fire plus / 2 way releasew/gear indicatorCRANKSETShimano FC-MT21022-piece Design / 36X22BB-SETShimano BB-MT500Hollowtech II / threadedCHAINKMC X9CASSETTEShimano CS-HG200-9 / 11-36TBRAKESTektro HDM275 Hydr. DiscROTORTektro / 6 bolt / F&R 160mmHANDLEBARSyncros 3.0 / 720mmblack / 31.8mm / 12mm rise / 9° BSSyncros Pro GripH'STEMSyncros 3.0 / 7° / BlackSEATPOSTSyncros 3.031.6mm / 350mm / BlackSEATSyncros 3.0HEADSETSyncros OE Press Fit / 1 1/8""OD 50mm / ID 44mmHUB (FRONT)Formula DC-19 FQR DiscHUB (REAR)Formula DC-25 8s RQR DiscSPOKES14 G / stainless / blackRIMSSyncros X-20 Disc32H / blackFRONT TIREKenda Booster2.4"" / 30TPIREAR TIREKenda Booster2.4"" / 30TPIPEDALSFeimin FP-873-ZUAPPROX WEIGHTS IN KG14.40APPROX WEIGHTS IN LBS31.75MAX. SYSTEM WEIGHT128 kgItems Available: 4",1,3341,"2022-03-29 06:11:32","Bridge Cycles CC","Tokai, Southern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:32","Western Cape"
"6","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/kuils-river/29er-small-momsen-al129-mtb-+-lockout-air-fork-+-tubeless-+-stunning-condition/10011876356301010003575409",6,"29ER SMALL MOMSEN AL129 MTB - LOCKOUT AIR FORK - TUBELESS - STUNNING CONDITION",8500,"29ER SMALL MOMSEN AL129 MOUNTAINBIKE.STUNNING CONDITION, BASICALLY USED FOR LESS THAN 100KM AND STORED.BIKE IS CHECKED AND READY TO RACE. **AIR FORK WITH LOCKOUT****HYDRAULIC DISK BRAKES****TUBELESS CONVERSION DONE****SMALL FRAME // 29ER WHEELS**SMALL MOMSEN AL129 ALLOY FRAMESR SUNTOUR XCR LOCKOUT FORKTEKTRO HYDRAULIC DISK BRAKESMOMSEN DOUBLE WALL RIMSTUBELESS TYRESSHIMANO ALTUS 9 SPEED REAR DERAILLEUR SHIMANO ALTUS 3 SPEED FRONT DERAILLEUR SHIMANO CRANKSHIMANO ALTUS RAPIDFIRE SHIFTERSMOMSEN SEAT AND SEAT POSTMOMSEN HANDLEBAR AND STEMFLAT ALLOY PEDALSBOTTLE HOLDERSTUNNING CONDITION ALL AROUND.VIEWING AND TESTING WELCOME.PRICE: R8500FOR MORE INFOLIZELLE: 0826038599Items Available: 1",17,556,"2023-02-27 01:41:33","LizelleVDM","Kuils River, Northern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:33","Western Cape"
"7","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/tokai/2022-scott-aspect-960-29er-mtb/10010239636641011247410409",7,"2022 SCOTT ASPECT 960 29ER MTB",9000,"2022 Scott Aspect 960 Features:Aspect 700/900 Alloy FrameSuntour XCE28 100mmShimano TX800 16 SpeedTektro Hyd. Disc BrakesKenda BoosterItems Available: 4",1,2993,"2022-03-29 06:11:33","Bridge Cycles CC","Tokai, Southern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:33","Western Cape"
"8","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/constantia/ladies-mountain-bike-26-inch/10011988772901010401204109",8,"Ladies mountain bike 26 inch",950,"Original bike not used much.was in storage tyres as new bargain",2,4,"2023-03-29 11:17:34","Price","Constantia, Southern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:34","Western Cape"
"9","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/constantia/mtb-mongoose-expert-27-5-excellent/10011988759931010401204109",9,"MTB Mongoose Expert 27, 5 Excellent",3500,"Quality Bike .it's in great condition.nit used much.Shimano Components .it's a medium/ large so suitable for Persons 1,6. -1,9 . Front shocks lockout system Fully Functional. Alliminum light frame Wheels 27,5 with Excellent tyres . Bike is ready to enjoy first come basis thanks",4,6,"2023-03-29 11:15:35","Price","Constantia, Southern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:35","Western Cape"
"10","https://www.gumtree.co.za/s-mountain-bikes/v1c9800p1page-1/v1c9800p1",1,"https://www.gumtree.co.za/a-mountain-bikes/kuils-river/29er-xl-titan-rogue-dash-mtb-+-sram-sx-eagle-1-x-12-+-tubeless-+-race-ready/10011935641661010003575409",10,"29ER XL TITAN ROGUE DASH MTB - SRAM SX EAGLE 1 X 12 - TUBELESS - RACE READY",12500,"29ER EXTRA LARGE TITAN ROGUE DASH MOUNTAINBIKE. STUNNING CONDITION. SERVICED WITH FRESH SEALANT.READY TO HIT THE TRAILS. **29ER WHEELS // EXTRA LARGE FRAME** **AIR FORK WITH LOCKOUT** **SRAM 1 X 12 SX EAGLE DRIVETRAIN** **TUBELESS CONVERSION DONE**XL TITAN ROGUE DASH ALLOY FRAME SR SUNTOUR XCR AIR FORK WITH LOCKOUT SHIMANO HYDRAULIC DISK BRAKES VITTORIA BARZO 2.25 TYRES TITAN RACING 30 DOUBLE WALL RIMSSRAM SX EAGLE REAR DERAILLEUR 12 SPEEDSRAM SX SHIFTERSRAM SX CRANK 32T EAGLETITAN RACING HANDLEBAR AND STEMTITAN RACING SEAT AND SEATPOSTNORMAL FLAT PEDALSBOTTLEHOLDER CYCLE COMPUTERBIKE IS RACE READY // GET ON AND GO. VIEWING AND TESTING WELCOME!PRICE: R12500FOR MORE INFO LIZELLE: 0826038599Items Available: 1",17,210,"2023-03-09 12:11:35","LizelleVDM","Kuils River, Northern Suburbs, Western Cape",NA,NA,NA,"2023-03-29 12:11:36","Western Cape"
